역코드,역명,위도,경도,품목명,수량,유효기간일,제조년월일,기준일자
2629,삼각지역(6호선),37.539279,126.961348,화재용 긴급대피마스크,98,2027-09-19,2022-09-19,2025-03-10
2738,이수(총신대입구)역(7호선),37.485258,126.981766,화재용 긴급대피마스크,200,2027-07-27,2022-07-27,2025-03-10
2738,이수(총신대입구)역(7호선),37.485258,126.981766,화재용 긴급대피마스크,150,2027-09-19,2022-09-19,2025-03-10
2511,방화역,37.577669,126.812822,화재용 긴급대피마스크,150,2027-07-29,2022-07-29,2025-03-10
2512,개화산역,37.572458,126.806838,화재용 긴급대피마스크,150,2027-07-31,2022-07-31,2025-03-10
2513,김포공항역,37.56217,126.801273,화재용 긴급대피마스크,250,2027-08-01,2022-08-01,2025-03-10
2514,송정역,37.561411,126.812052,화재용 긴급대피마스크,150,2027-08-01,2022-08-01,2025-03-10
2515,마곡역,37.562182,126.82693,화재용 긴급대피마스크,61,2027-07-31,2022-07-31,2025-03-10
2515,마곡역,37.562182,126.82693,화재용 긴급대피마스크,39,2027-08-01,2022-08-01,2025-03-10
2515,마곡역,37.562182,126.82693,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2516,발산역,37.562182,126.82693,화재용 긴급대피마스크,150,2027-08-02,2022-08-02,2025-03-10
2517,우장산역,37.548864,126.83633,화재용 긴급대피마스크,200,2027-08-31,2022-08-31,2025-03-10
2518,화곡역,37.541585,126.840436,화재용 긴급대피마스크,250,2027-07-31,2022-07-31,2025-03-10
2519,까치산역(5호선),37.53181,126.846706,화재용 긴급대피마스크,200,2027-08-01,2022-08-01,2025-03-10
2519,까치산역(5호선),37.53181,126.846706,화재용 긴급대피마스크,100,2027-09-19,2022-09-19,2025-03-10
2520,신정(은행정)역,37.525001,126.856176,화재용 긴급대피마스크,250,2027-08-01,2022-08-01,2025-03-10
2521,목동역,37.526088,126.864296,화재용 긴급대피마스크,9,2027-07-27,2022-07-27,2025-03-10
2521,목동역,37.526088,126.864296,화재용 긴급대피마스크,39,2027-07-28,2022-07-28,2025-03-10
2521,목동역,37.526088,126.864296,화재용 긴급대피마스크,91,2027-08-01,2022-08-01,2025-03-10
2521,목동역,37.526088,126.864296,화재용 긴급대피마스크,21,2027-08-02,2022-08-02,2025-03-10
2521,목동역,37.526088,126.864296,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2522,오목교(목동운동장앞)역,37.524557,126.875049,화재용 긴급대피마스크,111,2027-07-27,2022-07-27,2025-03-10
2522,오목교(목동운동장앞)역,37.524557,126.875049,화재용 긴급대피마스크,118,2027-07-28,2022-07-28,2025-03-10
2522,오목교(목동운동장앞)역,37.524557,126.875049,화재용 긴급대피마스크,20,2027-08-02,2022-08-02,2025-03-10
2522,오목교(목동운동장앞)역,37.524557,126.875049,화재용 긴급대피마스크,51,2027-09-19,2022-09-19,2025-03-10
2523,양평역,37.525614,126.886177,화재용 긴급대피마스크,250,2027-08-02,2022-08-02,2025-03-10
2525,영등포시장역,37.52276,126.905143,화재용 긴급대피마스크,165,2027-07-31,2022-07-31,2025-03-10
2525,영등포시장역,37.52276,126.905143,화재용 긴급대피마스크,40,2027-08-01,2022-08-01,2025-03-10
2525,영등포시장역,37.52276,126.905143,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2526,신길역,37.51763,126.914886,화재용 긴급대피마스크,55,2027-07-28,2022-07-28,2025-03-10
2526,신길역,37.51763,126.914886,화재용 긴급대피마스크,622,2027-07-31,2022-07-31,2025-03-10
2526,신길역,37.51763,126.914886,화재용 긴급대피마스크,9,2027-08-02,2022-08-02,2025-03-10
2526,신길역,37.51763,126.914886,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2527,여의도역,37.521578,126.924318,화재용 긴급대피마스크,125,2027-07-31,2022-07-31,2025-03-10
2527,여의도역,37.521578,126.924318,화재용 긴급대피마스크,175,2027-08-02,2022-08-02,2025-03-10
2528,여의나루역,37.527145,126.932807,화재용 긴급대피마스크,250,2027-08-03,2022-08-03,2025-03-10
2529,마포역,37.539718,126.946043,화재용 긴급대피마스크,250,2027-08-31,2022-08-31,2025-03-10
2530,공덕역(5호선),37.544005,126.951058,화재용 긴급대피마스크,500,2027-08-03,2022-08-03,2025-03-10
2530,공덕역(5호선),37.544005,126.951058,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2531,애오개역,37.553592,126.956733,화재용 긴급대피마스크,199,2027-07-29,2022-07-29,2025-03-10
2533,서대문역,37.565812,126.966639,화재용 긴급대피마스크,250,2027-07-29,2022-07-29,2025-03-10
2534,광화문(세종문화회관)역,37.570545,126.976568,화재용 긴급대피마스크,250,2027-08-03,2022-08-03,2025-03-10
2535,종로3가역(5호선),37.572546,126.990447,화재용 긴급대피마스크,300,2027-07-29,2022-07-29,2025-03-10
2535,종로3가역(5호선),37.572546,126.990447,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2537,동대문역사문화공원역(5호선),37.564682,127.00533,화재용 긴급대피마스크,400,2027-08-22,2022-08-22,2025-03-10
2538,청구역(5호선),37.560237,127.01379,화재용 긴급대피마스크,500,2027-08-04,2022-08-04,2025-03-10
2539,신금호역,37.554504,127.020403,화재용 긴급대피마스크,250,2027-07-29,2022-07-29,2025-03-10
2540,행당역,37.557297,127.029482,화재용 긴급대피마스크,250,2027-08-03,2022-08-03,2025-03-10
2542,마장역,37.566066,127.042921,화재용 긴급대피마스크,200,2027-08-03,2022-08-03,2025-03-10
2543,답십리역,37.566833,127.05266,화재용 긴급대피마스크,250,2027-07-28,2022-07-28,2025-03-10
2544,장한평역,37.561438,127.064601,화재용 긴급대피마스크,199,2026-09-11,2021-09-11,2025-03-10
2545,군자(능동)역(5호선),37.557102,127.079559,화재용 긴급대피마스크,600,2027-07-31,2022-07-31,2025-03-10
2546,아차산(어린이대공원후문)역,37.552005,127.089609,화재용 긴급대피마스크,5,2027-07-29,2022-07-29,2025-03-10
2546,아차산(어린이대공원후문)역,37.552005,127.089609,화재용 긴급대피마스크,245,2027-08-02,2022-08-02,2025-03-10
2547,광나루(장신대)역,37.545301,127.103478,화재용 긴급대피마스크,200,2027-07-31,2022-07-31,2025-03-10
2548,천호(풍납토성)역(5호선),37.538566,127.123539,화재용 긴급대피마스크,550,2027-08-03,2022-08-03,2025-03-10
2549,강동역,37.53581,127.13249,화재용 긴급대피마스크,200,2027-08-01,2022-08-01,2025-03-10
2550,길동역,37.538022,127.140085,화재용 긴급대피마스크,149,2027-07-31,2022-07-31,2025-03-10
2550,길동역,37.538022,127.140085,화재용 긴급대피마스크,10,2027-08-01,2022-08-01,2025-03-10
2550,길동역,37.538022,127.140085,화재용 긴급대피마스크,40,2027-08-04,2022-08-04,2025-03-10
2551,굽은다리(강동구민회관앞)역,37.545442,127.142844,화재용 긴급대피마스크,180,2027-07-31,2022-07-31,2025-03-10
2551,굽은다리(강동구민회관앞)역,37.545442,127.142844,화재용 긴급대피마스크,20,2027-08-04,2022-08-04,2025-03-10
2552,명일역,37.551317,127.144002,화재용 긴급대피마스크,144,2027-07-31,2022-07-31,2025-03-10
2553,고덕역,37.555002,127.154214,화재용 긴급대피마스크,150,2027-07-31,2022-07-31,2025-03-10
2554,상일동역,37.556714,127.166381,화재용 긴급대피마스크,150,2026-11-01,2021-11-01,2025-03-10
2555,둔촌동역,37.527787,127.136219,화재용 긴급대피마스크,200,2022-12-31,2017-12-31,2025-03-10
2556,올림픽공원(한국체대)역,37.516217,127.130957,화재용 긴급대피마스크,200,2027-08-04,2022-08-04,2025-03-10
2557,방이역,37.508752,127.126054,화재용 긴급대피마스크,150,2027-08-05,2022-08-05,2025-03-10
2559,개롱역,37.498097,127.134817,화재용 긴급대피마스크,150,2027-08-04,2022-08-04,2025-03-10
2560,거여역,37.493208,127.143983,화재용 긴급대피마스크,150,2027-08-05,2022-08-05,2025-03-10
2561,마천역,37.494972,127.152784,화재용 긴급대피마스크,150,2028-01-01,2023-01-01,2025-03-10
2562,강일역,37.557521,127.176018,화재용 긴급대피마스크,150,2025-07-31,2020-07-31,2025-03-10
2563,미사역,37.56329,127.192954,화재용 긴급대피마스크,150,2024-04-11,2019-04-11,2025-03-10
2564,하남풍산역,37.552201,127.203897,화재용 긴급대피마스크,150,2024-01-15,2019-01-15,2025-03-10
2565,하남시청역,37.541723,127.206901,화재용 긴급대피마스크,100,2025-07-15,2020-07-15,2025-03-10
2565,하남시청역,37.541723,127.206901,화재용 긴급대피마스크,70,2026-02-24,2021-02-24,2025-03-10
2566,하남검단산역,37.539729,127.223427,화재용 긴급대피마스크,40,2025-07-31,2020-07-31,2025-03-10
2566,하남검단산역,37.539729,127.223427,화재용 긴급대피마스크,33,2025-11-30,2020-11-30,2025-03-10
2566,하남검단산역,37.539729,127.223427,화재용 긴급대피마스크,77,2026-02-28,2021-02-28,2025-03-10
312,불광역(3호선),37.610554,126.929843,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
2611,응암역,37.59859,126.915583,화재용 긴급대피마스크,100,2027-08-02,2022-08-02,2025-03-10
2611,응암역,37.59859,126.915583,화재용 긴급대피마스크,10,2027-08-04,2022-08-04,2025-03-10
2611,응암역,37.59859,126.915583,화재용 긴급대피마스크,40,2027-08-18,2022-08-18,2025-03-10
2611,응암역,37.59859,126.915583,화재용 긴급대피마스크,100,2027-09-19,2022-09-19,2025-03-10
2612,역촌역,37.60605,126.922764,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2613,불광역(6호선),37.610919,126.929504,화재용 긴급대피마스크,200,2027-08-16,2022-08-16,2025-03-10
2614,독바위역,37.618413,126.933035,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2616,구산역,37.618596,126.920519,화재용 긴급대피마스크,100,2027-08-06,2022-08-06,2025-03-10
2616,구산역,37.618596,126.920519,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2617,새절(신사)역,37.611223,126.917246,화재용 긴급대피마스크,200,2027-08-15,2022-08-15,2025-03-10
2617,새절(신사)역,37.611223,126.917246,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2618,증산역,37.591148,126.913613,화재용 긴급대피마스크,200,2027-08-17,2022-08-17,2025-03-10
2619,디지털미디어시티역,37.583989,126.909785,화재용 긴급대피마스크,200,2027-08-18,2022-08-18,2025-03-10
2619,디지털미디어시티역,37.583989,126.909785,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2620,월드컵경기장(성산)역,37.577005,126.898643,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2621,마포구청역,37.569439,126.899077,화재용 긴급대피마스크,250,2027-08-17,2022-08-17,2025-03-10
2622,망원역,37.563535,126.903326,화재용 긴급대피마스크,200,2027-08-16,2022-08-16,2025-03-10
