역명,소화기_수량,화재용 긴급대피마스크_수량,면적,소화기_밀도,마스크_밀도
월드컵경기장,49.0,150.0,12286.19,0.003988217665525277,0.012208829588342683
역촌,26.0,150.0,6518.74,0.003988500845255372,0.02301058179955022
김포공항,44.0,250.0,11008.53,0.003996900585273419,0.022709662416326246
보라매,34.0,150.0,8423.05,0.0040365425825562,0.01780827609951265
응암,33.0,250.0,8150.87,0.004048647567682959,0.03067157248244666
하남풍산,36.0,150.0,8885.75,0.004051430661452325,0.01688096108938469
마들,39.0,200.0,9595.56,0.004064379775646236,0.02084297320844224
학동,38.0,250.0,9293.12,0.004089046520436623,0.026901621844977786
안암,34.0,250.0,8300.81,0.004095985813432665,0.03011754274582842
효창공원앞,28.0,200.0,6793.79,0.00412141087669769,0.029438649119269217
구산,20.0,150.0,4844.77,0.0041281629468478374,0.030961222101358783
광명사거리,36.0,300.0,8713.58,0.0041314821233063796,0.03442901769421983
청담,84.0,200.0,20302.8,0.004137360364087712,0.009850858009732648
강남구청,43.0,350.0,10359.31,0.004150855607178471,0.033786034011917786
디지털미디어시티,46.0,250.0,11066.23,0.004156790523963446,0.022591252847627422
독바위,23.0,150.0,5530.7,0.004158605601460937,0.027121340879093063
목동,31.0,210.0,7392.7,0.004193325848472142,0.028406400909004828
하계,39.0,200.0,9222.08,0.004228980880669003,0.02168708143932822
경복궁,54.0,190.0,12700.17,0.004251911588585035,0.014960429663539937
행당,38.0,250.0,8931.33,0.004254685472376455,0.02799135179195036
장한평,36.0,199.0,8453.13,0.004258777517913483,0.023541575724021754
석촌,30.0,150.0,6991.2,0.004291108822519739,0.021455544112598698
오목교,54.0,300.0,12405.2,0.004353013252507013,0.024183406958372296
고려대,43.0,200.0,9869.26,0.004356962933391156,0.020264943876237933
신정,28.0,250.0,6415.38,0.004364511533221726,0.038968852975193986
중화,39.0,200.0,8929.72,0.004367438172753457,0.022397118834633113
상일동,36.0,150.0,8237.81,0.00437009350786192,0.018208722949424667
제기동,38.0,200.0,8662.0,0.004386977603324867,0.023089355806972984
복정,29.0,250.0,6585.85,0.0044033799737315605,0.03796017218734104
신풍,35.0,200.0,7927.19,0.004415183690563744,0.025229621088935675
사가정,36.0,250.0,8149.0,0.004417719965639956,0.030678610872499693
도곡,57.0,200.0,12895.8,0.00442004373516959,0.015508925386559966
산성,29.0,250.0,6526.63,0.004443334462042432,0.03830460743140028
송정,29.0,150.0,6515.21,0.004451122834106652,0.023023049141930957
버티고개,28.0,250.0,6278.79,0.004459457952885827,0.03981658886505202
용마산,37.0,200.0,8266.0,0.004476167432857488,0.024195499637067505
돌곶이,29.0,200.0,6434.81,0.004506737572671143,0.031080948777042365
석계,58.0,246.0,12830.57,0.004520453884745573,0.019172959580127772
먹골,42.0,200.0,9265.72,0.004532837167537979,0.021584938893037996
장지,26.0,200.0,5727.89,0.004539193315514089,0.03491687165780069
남구로,45.0,300.0,9854.36,0.0045665066021537675,0.030443377347691782
신대방삼거리,40.0,200.0,8732.26,0.00458071564520525,0.02290357822602625
일원,49.0,200.0,10573.04,0.00463442869789578,0.018916035501615427
면목,40.0,300.0,8621.0,0.004639832966013223,0.034798747245099175
애오개,35.0,199.0,7329.72,0.004775080084914567,0.027149741054228536
종로5가,50.0,200.0,10465.0,0.004777830864787387,0.019111323459149548
가락시장,77.0,250.0,16065.98,0.004792735955105135,0.01556083102306862
종각,50.0,200.0,10410.24,0.004802963236198205,0.01921185294479282
아차산,32.0,250.0,6654.15,0.004809028951857112,0.03757053868638369
답십리,38.0,250.0,7858.26,0.004835676091144859,0.03181365849437407
몽촌토성,36.0,150.0,7414.7,0.004855220035874681,0.020230083482811172
뚝섬,41.0,8.0,8384.0,0.004890267175572519,0.0009541984732824427
하남시청,45.0,170.0,9194.89,0.004894022658237347,0.01848853004222998
을지로입구,51.0,200.0,10408.66,0.004899766156258346,0.01921476924022881
단대오거리,40.0,200.0,8133.22,0.004918101317805248,0.02459050658902624
송파,25.0,150.0,5079.19,0.004922044656726762,0.02953226794036057
용두,30.0,200.0,6090.0,0.0049261083743842365,0.03284072249589491
서대문,40.0,250.0,8100.55,0.004937936312966403,0.03086210195604002
녹번,32.0,200.0,6439.0,0.004969715794378009,0.031060723714862556
신도림,96.0,250.0,19246.0,0.0049880494648238596,0.012989712147978802
발산,34.0,150.0,6807.57,0.0049944400131030605,0.022034294175454678
광나루,40.0,200.0,7995.9,0.005002563813954652,0.02501281906977326
숭실대입구,47.0,300.0,9358.4,0.005022226021542144,0.03205676183963071
마장,36.0,200.0,7123.47,0.005053716798133494,0.028076204434074964
어린이대공원,49.0,250.0,9679.31,0.005062344319998017,0.025828287346928658
신금호,45.0,250.0,8889.08,0.00506239115859009,0.0281243953255005
망원,28.0,200.0,5520.83,0.005071701175366748,0.03622643696690534
신정네거리,35.0,200.0,6860.92,0.0051013566693679565,0.029150609539245465
압구정,40.0,200.0,7775.0,0.005144694533762058,0.02572347266881029
새절,36.0,250.0,6990.22,0.0051500525019241164,0.035764253485584145
자양,30.0,,5768.14,0.00520098333258208,
까치산,41.0,300.0,7868.9,0.005210385187256161,0.03812476966284996
증산,30.0,200.0,5723.1,0.005241914347119568,0.03494609564746379
상봉,48.0,350.0,9006.95,0.005329217992772248,0.03885888119729764
신당,97.0,500.0,18195.21,0.005331073397888786,0.027479759782931882
군자,55.0,600.0,10081.3,0.005455645601261742,0.05951613383194628
성수,55.0,,10045.0,0.0054753608760577405,
안국,61.0,200.0,11076.64,0.005507085181065739,0.01805601698710078
수진,28.0,150.0,5067.31,0.005525614181883484,0.029601504545804378
남한산성입구,30.0,250.0,5412.29,0.0055429402341707484,0.04619116861808957
신흥,27.0,150.0,4861.61,0.005553715744372749,0.030853976357626385
한성대입구,33.0,200.0,5913.0,0.005580923389142567,0.03382377811601556
이촌,42.0,200.0,7523.0,0.005582879170543666,0.02658513890735079
매봉,41.0,200.0,7321.0,0.00560032782406775,0.02731867231252561
마곡,50.0,150.0,8904.17,0.005615346517418243,0.01684603955225473
상수,35.0,200.0,6193.76,0.005650848596006303,0.0322905634057503
미아사거리,48.0,200.0,8433.0,0.005691924581999288,0.023716352424997037
