"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20241201","6호선","동묘앞","8591","7960","20241204",""
"20241201","6호선","창신","1916","1833","20241204",""
"20241201","6호선","보문","5181","4981","20241204",""
"20241201","6호선","안암(고대병원앞)","7608","7595","20241204",""
"20241201","6호선","고려대(종암)","4940","5037","20241204",""
"20241201","6호선","월곡(동덕여대)","6276","6181","20241204",""
"20241201","6호선","상월곡(한국과학기술연구원)","3932","3614","20241204",""
"20241201","6호선","돌곶이","5654","5153","20241204",""
"20241201","6호선","석계","7347","7654","20241204",""
"20241201","6호선","태릉입구","3778","4180","20241204",""
"20241201","6호선","화랑대(서울여대입구)","6189","5694","20241204",""
"20241201","6호선","봉화산(서울의료원)","4512","4505","20241204",""
"20241201","7호선","장암","1563","1083","20241204",""
"20241201","7호선","도봉산","5301","7454","20241204",""
"20241201","7호선","수락산","8482","8145","20241204",""
"20241201","7호선","마들","7292","6737","20241204",""
"20241201","7호선","노원","12710","12790","20241204",""
"20241201","7호선","중계","8424","8130","20241204",""
"20241201","7호선","하계","11168","10572","20241204",""
"20241201","7호선","공릉(서울과학기술대)","7290","7434","20241204",""
"20241201","7호선","태릉입구","5405","5317","20241204",""
"20241201","7호선","먹골","6080","6009","20241204",""
"20241201","7호선","중화","6286","6042","20241204",""
"20241201","7호선","상봉","11337","10889","20241204",""
"20241201","7호선","면목","8403","7911","20241204",""
"20241201","7호선","사가정","9871","9726","20241204",""
"20241201","7호선","용마산(용마폭포공원)","3454","3770","20241204",""
"20241201","7호선","중곡","6231","6030","20241204",""
"20241201","7호선","군자(능동)","8937","6999","20241204",""
"20241201","7호선","어린이대공원(세종대)","9248","9520","20241204",""
"20241201","7호선","건대입구","9638","10079","20241204",""
"20241201","7호선","자양(뚝섬한강공원)","5560","5131","20241204",""
"20241201","7호선","청담","7143","7791","20241204",""
"20241201","7호선","강남구청","6611","7304","20241204",""
"20241201","7호선","학동","8515","8943","20241204",""
"20241201","7호선","논현","6649","7103","20241204",""
"20241201","7호선","반포","3778","3470","20241204",""
"20241201","7호선","고속터미널","17065","11131","20241204",""
"20241201","7호선","내방","6109","6188","20241204",""
"20241201","7호선","이수","9960","9532","20241204",""
"20241201","7호선","남성","6686","6750","20241204",""
"20241201","7호선","숭실대입구(살피재)","7032","7502","20241204",""
"20241201","7호선","상도","6693","6737","20241204",""
"20241201","7호선","장승배기","5301","5317","20241204",""
"20241201","7호선","신대방삼거리","8642","8459","20241204",""
"20241201","7호선","보라매","4322","4378","20241204",""
"20241201","7호선","신풍","6843","6317","20241204",""
"20241201","7호선","대림(구로구청)","9317","8870","20241204",""
"20241201","7호선","남구로","7421","7222","20241204",""
"20241201","7호선","가산디지털단지","10777","10984","20241204",""
"20241201","7호선","철산","11706","11469","20241204",""
"20241201","7호선","광명사거리","13015","13109","20241204",""
"20241201","7호선","천왕","5901","5748","20241204",""
"20241201","7호선","온수(성공회대입구)","4586","4599","20241204",""
"20241201","8호선","암사역사공원","3088","2913","20241204",""
"20241201","8호선","암사","9561","8986","20241204",""
"20241201","8호선","천호(풍납토성)","11843","13006","20241204",""
"20241201","8호선","강동구청","5592","5738","20241204",""
"20241201","8호선","몽촌토성(평화의문)","4535","4459","20241204",""
"20241201","8호선","잠실(송파구청)","16343","18244","20241204",""
"20241201","8호선","석촌","5529","6763","20241204",""
"20241201","8호선","송파","5283","5388","20241204",""
"20241201","8호선","가락시장","4652","5534","20241204",""
"20241201","8호선","문정","7692","7813","20241204",""
"20241201","8호선","장지","10407","9872","20241204",""
"20241201","8호선","복정","5744","5197","20241204",""
"20241201","8호선","산성","3573","3827","20241204",""
"20241201","8호선","남한산성입구(성남법원.검찰청)","7159","6785","20241204",""
"20241201","8호선","단대오거리","6706","6609","20241204",""
"20241201","8호선","신흥","3370","3576","20241204",""
"20241201","8호선","수진","4001","3711","20241204",""
"20241201","8호선","모란","3215","2534","20241204",""
"20241201","8호선","남위례","4137","4128","20241204",""
"20241201","9호선","개화","1280","1086","20241204",""
"20241201","9호선","김포공항","5815","10332","20241204",""
"20241201","9호선","공항시장","2017","2280","20241204",""
"20241201","9호선","신방화","4144","4167","20241204",""
"20241201","9호선","마곡나루(서울식물원)","9232","9051","20241204",""
"20241201","9호선","양천향교","5092","5358","20241204",""
"20241201","9호선","가양","14685","14257","20241204",""
"20241201","9호선","증미","3384","3285","20241204",""
"20241201","9호선","등촌","6763","6692","20241204",""
"20241201","9호선","염창","10452","10267","20241204",""
"20241201","9호선","신목동","2247","2049","20241204",""
"20241201","9호선","선유도","3321","3375","20241204",""
"20241201","9호선","당산","11393","10963","20241204",""
"20241201","9호선","국회의사당","7080","6533","20241204",""
"20241201","9호선","여의도","13343","11913","20241204",""
"20241201","9호선","샛강","2429","2202","20241204",""
"20241201","9호선","노량진","17924","18680","20241204",""
"20241201","9호선","노들","3198","2773","20241204",""
"20241201","9호선","흑석(중앙대입구)","5169","5260","20241204",""
"20241201","9호선","동작(현충원)","1235","1099","20241204",""
"20241201","9호선","구반포","386","402","20241204",""
"20241201","9호선","신반포","2695","2695","20241204",""
"20241201","9호선","고속터미널","14526","21710","20241204",""
"20241201","9호선","사평","2224","2253","20241204",""
"20241201","9호선","신논현","19092","18735","20241204",""
"20241201","9호선2~3단계","언주","4871","4853","20241204",""
"20241201","9호선2~3단계","선정릉","3928","4357","20241204",""
"20241201","9호선2~3단계","삼성중앙","2374","2516","20241204",""
"20241201","9호선2~3단계","봉은사","13782","14310","20241204",""
"20241201","9호선2~3단계","종합운동장","2957","2794","20241204",""
"20241201","9호선2~3단계","삼전","4565","4488","20241204",""
"20241201","9호선2~3단계","석촌고분","4148","4152","20241204",""
"20241201","9호선2~3단계","석촌","6066","5347","20241204",""
"20241201","9호선2~3단계","송파나루","3592","3738","20241204",""
"20241201","9호선2~3단계","한성백제","1858","1661","20241204",""
